temperature	v_out
9.500000000000000e+01	2.454273e+00
1.150000000000000e+02	2.500562e+00
1.250000000000000e+02	2.488056e+00
-4.500000000000000e+01	2.513725e+00
-2.500000000000000e+01	2.492235e+00
-5.000000000000000e+00	2.477208e+00
1.500000000000000e+01	2.511715e+00
3.500000000000000e+01	2.483419e+00
5.500000000000000e+01	2.510871e+00
7.500000000000000e+01	2.498030e+00
9.500000000000000e+01	2.448421e+00
1.150000000000000e+02	2.476493e+00
1.250000000000000e+02	2.448740e+00
-4.500000000000000e+01	2.467439e+00
-2.500000000000000e+01	2.498307e+00
-5.000000000000000e+00	2.476955e+00
1.500000000000000e+01	2.481936e+00
3.500000000000000e+01	2.475654e+00
5.500000000000000e+01	2.489641e+00
7.500000000000000e+01	2.510338e+00
9.500000000000000e+01	2.498349e+00
1.150000000000000e+02	2.509474e+00
1.250000000000000e+02	2.452089e+00
-4.500000000000000e+01	2.482677e+00
-2.500000000000000e+01	2.488948e+00
-5.000000000000000e+00	2.499274e+00
1.500000000000000e+01	2.457868e+00
3.500000000000000e+01	2.486722e+00
5.500000000000000e+01	2.455968e+00
7.500000000000000e+01	2.483722e+00
9.500000000000000e+01	2.537187e+00
1.150000000000000e+02	2.505973e+00
1.250000000000000e+02	2.500950e+00
-4.500000000000000e+01	2.496964e+00
-2.500000000000000e+01	2.517203e+00
-5.000000000000000e+00	2.495770e+00
1.500000000000000e+01	2.501578e+00
3.500000000000000e+01	2.539811e+00
5.500000000000000e+01	2.527174e+00
7.500000000000000e+01	2.505053e+00
9.500000000000000e+01	2.485648e+00
1.150000000000000e+02	2.500309e+00
1.250000000000000e+02	2.560112e+00
-4.500000000000000e+01	2.507174e+00
-2.500000000000000e+01	2.443003e+00
-5.000000000000000e+00	2.511545e+00
1.500000000000000e+01	2.545967e+00
3.500000000000000e+01	2.520136e+00
5.500000000000000e+01	2.496061e+00
7.500000000000000e+01	2.527470e+00
9.500000000000000e+01	2.458523e+00
1.150000000000000e+02	2.505877e+00
1.250000000000000e+02	2.559957e+00
-4.500000000000000e+01	2.480062e+00
-2.500000000000000e+01	2.495560e+00
-5.000000000000000e+00	2.504667e+00
1.500000000000000e+01	2.500357e+00
3.500000000000000e+01	2.542923e+00
5.500000000000000e+01	2.526963e+00
7.500000000000000e+01	2.543025e+00
9.500000000000000e+01	2.509345e+00
1.150000000000000e+02	2.504670e+00
1.250000000000000e+02	2.499794e+00
-4.500000000000000e+01	2.481719e+00
-2.500000000000000e+01	2.515661e+00
-5.000000000000000e+00	2.474160e+00
1.500000000000000e+01	2.489589e+00
3.500000000000000e+01	2.489666e+00
5.500000000000000e+01	2.460052e+00
7.500000000000000e+01	2.512062e+00
9.500000000000000e+01	2.528568e+00
1.150000000000000e+02	2.480607e+00
1.250000000000000e+02	2.514070e+00
-4.500000000000000e+01	2.485654e+00
-2.500000000000000e+01	2.493048e+00
-5.000000000000000e+00	2.449551e+00
1.500000000000000e+01	2.465515e+00
3.500000000000000e+01	2.527794e+00
5.500000000000000e+01	2.524940e+00
7.500000000000000e+01	2.503289e+00
9.500000000000000e+01	2.548144e+00
1.150000000000000e+02	2.461966e+00
1.250000000000000e+02	2.549316e+00
-4.500000000000000e+01	2.468530e+00
-2.500000000000000e+01	2.459505e+00
-5.000000000000000e+00	2.517446e+00
1.500000000000000e+01	2.483588e+00
3.500000000000000e+01	2.466438e+00
5.500000000000000e+01	2.455842e+00
7.500000000000000e+01	2.460512e+00
9.500000000000000e+01	2.517755e+00
1.150000000000000e+02	2.499754e+00
1.250000000000000e+02	2.524227e+00
-4.500000000000000e+01	2.518315e+00
-2.500000000000000e+01	2.479846e+00
-5.000000000000000e+00	2.505166e+00
1.500000000000000e+01	2.464592e+00
3.500000000000000e+01	2.524002e+00
5.500000000000000e+01	2.501423e+00
7.500000000000000e+01	2.592130e+00
9.500000000000000e+01	2.537820e+00
1.150000000000000e+02	2.511172e+00
1.250000000000000e+02	2.551103e+00
-4.500000000000000e+01	2.565565e+00
-2.500000000000000e+01	2.497838e+00
-5.000000000000000e+00	2.474230e+00
1.500000000000000e+01	2.541536e+00
3.500000000000000e+01	2.480243e+00
5.500000000000000e+01	2.479901e+00
7.500000000000000e+01	2.514709e+00
9.500000000000000e+01	2.463985e+00
1.150000000000000e+02	2.466668e+00
1.250000000000000e+02	2.506913e+00
-4.500000000000000e+01	2.499047e+00
-2.500000000000000e+01	2.445357e+00
-5.000000000000000e+00	2.482513e+00
1.500000000000000e+01	2.496958e+00
3.500000000000000e+01	2.530748e+00
5.500000000000000e+01	2.500343e+00
7.500000000000000e+01	2.499014e+00
9.500000000000000e+01	2.495328e+00
1.150000000000000e+02	2.528596e+00
1.250000000000000e+02	2.522233e+00
-4.500000000000000e+01	2.523318e+00
-2.500000000000000e+01	2.510864e+00
-5.000000000000000e+00	2.506581e+00
1.500000000000000e+01	2.500197e+00
3.500000000000000e+01	2.515479e+00
5.500000000000000e+01	2.506638e+00
7.500000000000000e+01	2.491313e+00
9.500000000000000e+01	2.493270e+00
1.150000000000000e+02	2.488840e+00
1.250000000000000e+02	2.539342e+00
-4.500000000000000e+01	2.510126e+00
-2.500000000000000e+01	2.525932e+00
-5.000000000000000e+00	2.538974e+00
1.500000000000000e+01	2.515217e+00
3.500000000000000e+01	2.475801e+00
5.500000000000000e+01	2.452115e+00
7.500000000000000e+01	2.507372e+00
9.500000000000000e+01	2.528700e+00
1.150000000000000e+02	2.501635e+00
1.250000000000000e+02	2.508098e+00
-4.500000000000000e+01	2.539431e+00
-2.500000000000000e+01	2.484434e+00
-5.000000000000000e+00	2.466852e+00
1.500000000000000e+01	2.524158e+00
3.500000000000000e+01	2.487033e+00
5.500000000000000e+01	2.534341e+00
7.500000000000000e+01	2.524388e+00
9.500000000000000e+01	2.484921e+00
1.150000000000000e+02	2.474721e+00
1.250000000000000e+02	2.509181e+00
-4.500000000000000e+01	2.484572e+00
-2.500000000000000e+01	2.520603e+00
-5.000000000000000e+00	2.529241e+00
1.500000000000000e+01	2.481140e+00
